Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
20848,1250.88,1250.88,0.130315359,0.993054709,1.084278713
20849,1250.94,1250.94,0.129813621,0.994353089,1.083850352
20850,1251,1251,0.130467261,0.991721485,1.08743311
20851,1251.06,1251.06,0.130803621,0.991952304,1.082404301
20852,1251.12,1251.12,0.130434512,0.991263021,1.077633679
20853,1251.18,1251.18,0.128904876,0.990145461,1.085949319
20854,1251.24,1251.24,0.126539427,0.992436633,1.083745802
20855,1251.3,1251.3,0.124049578,0.995562106,1.093753219
20856,1251.36,1251.36,0.121503003,0.997301475,1.101786817
20857,1251.42,1251.42,0.12184973,0.994233954,1.108194698
20858,1251.48,1251.48,0.126689379,0.995090413,1.102313512
20859,1251.54,1251.54,0.131185016,0.994310521,1.102230261
20860,1251.6,1251.6,0.135820919,0.995604359,1.106725223
20861,1251.66,1251.66,0.143120918,0.99324408,1.115407309
20862,1251.72,1251.72,0.151039217,0.992669449,1.113168566
20863,1251.78,1251.78,0.161242676,0.99434975,1.105332056
20864,1251.84,1251.84,0.169119959,0.993560619,1.106220038
20865,1251.9,1251.9,0.172141856,0.992411684,1.111562845
20866,1251.96,1251.96,0.173955363,0.990555295,1.122901019
20867,1252.02,1252.02,0.175401568,0.989009829,1.127107929
20868,1252.08,1252.08,0.174517607,0.992876842,1.143764622
20869,1252.14,1252.14,0.171008059,0.991811726,1.158278416
20870,1252.2,1252.2,0.163173722,0.991065937,1.182279587
20871,1252.26,1252.26,0.157701886,0.991380381,1.210056154
20872,1252.32,1252.32,0.158004308,0.988298064,1.227670883
20873,1252.38,1252.38,0.16296263,0.989327264,1.227749032
20874,1252.44,1252.44,0.167217028,0.989209457,1.235875235
20875,1252.5,1252.5,0.170564615,0.98720926,1.235783086
20876,1252.56,1252.56,0.170750759,0.988158505,1.252727442
20877,1252.62,1252.62,0.165036422,0.986481237,1.264722484
20878,1252.68,1252.68,0.15714703,0.987320951,1.300415737
20879,1252.74,1252.74,0.149171756,0.989132127,1.327630166
20880,1252.8,1252.8,0.141140301,0.989975209,1.346707842
20881,1252.86,1252.86,0.132353456,0.988427835,1.37609939
20882,1252.92,1252.92,0.125721981,0.993443317,1.393121474
20883,1252.98,1252.98,0.121706285,0.993774298,1.420449551
20884,1253.04,1253.04,0.120619491,0.990768093,1.401090881
20885,1253.1,1253.1,0.123885372,0.989455488,1.388220016
20886,1253.16,1253.16,0.128279422,0.991455737,1.401553357
20887,1253.22,1253.22,0.131368677,0.990043205,1.40093545
20888,1253.28,1253.28,0.132611043,0.988836727,1.416116027
20889,1253.34,1253.34,0.132350382,0.988026764,1.424392939
20890,1253.4,1253.4,0.132718988,0.989510058,1.430782518
20891,1253.46,1253.46,0.132327892,0.987209758,1.458426279
20892,1253.52,1253.52,0.133144237,0.989572737,1.453915954
20893,1253.58,1253.58,0.133993194,0.989379097,1.470409046
20894,1253.64,1253.64,0.134065788,0.988464368,1.482518831
20895,1253.7,1253.7,0.134638264,0.990217787,1.484347775
20896,1253.76,1253.76,0.132887149,0.990387694,1.49094096
20897,1253.82,1253.82,0.132734079,0.990896782,1.491058928
20898,1253.88,1253.88,0.134373646,0.991111652,1.457396676
20899,1253.94,1253.94,0.137841944,0.991140266,1.443804075
20900,1254,1254,0.14157381,0.988936361,1.434855675
20901,1254.06,1254.06,0.144482062,0.990585417,1.412268284
20902,1254.12,1254.12,0.143994589,0.988843527,1.41327135
20903,1254.18,1254.18,0.142848135,0.989202704,1.409110441
20904,1254.24,1254.24,0.139590325,0.990156673,1.420735026
20905,1254.3,1254.3,0.136860862,0.991128063,1.436982653
20906,1254.36,1254.36,0.13718441,0.990123477,1.45565095
20907,1254.42,1254.42,0.139699526,0.990012022,1.43288665
20908,1254.48,1254.48,0.144058891,0.990149335,1.424227641
20909,1254.54,1254.54,0.147112108,0.989883049,1.418618009
20910,1254.6,1254.6,0.149297809,0.988389354,1.42627207
20911,1254.66,1254.66,0.149803909,0.987464966,1.432329946
20912,1254.72,1254.72,0.151664247,0.987824223,1.430913287
20913,1254.78,1254.78,0.154572913,0.989219245,1.421552683
20914,1254.84,1254.84,0.155895197,0.989224667,1.4148519
20915,1254.9,1254.9,0.156289166,0.988402417,1.39667747
20916,1254.96,1254.96,0.155011694,0.987502461,1.411436284
20917,1255.02,1255.02,0.157013589,0.98841644,1.409046163
20918,1255.08,1255.08,0.158919939,0.989774429,1.405989738
20919,1255.14,1255.14,0.161459901,0.990312524,1.3985553
20920,1255.2,1255.2,0.162315575,0.988386961,1.395113945
20921,1255.26,1255.26,0.159977983,0.989463594,1.393273918
20922,1255.32,1255.32,0.158924126,0.989091558,1.365879409
20923,1255.38,1255.38,0.157450451,0.989246791,1.341930617
20924,1255.44,1255.44,0.154919765,0.98820361,1.326073878
20925,1255.5,1255.5,0.150886832,0.991349133,1.328963182
20926,1255.56,1255.56,0.143134894,0.991139126,1.343143256
20927,1255.62,1255.62,0.136167969,0.989901977,1.377549946
20928,1255.68,1255.68,0.130471132,0.990639597,1.394864121
20929,1255.74,1255.74,0.130382409,0.988994206,1.363009292
20930,1255.8,1255.8,0.135349624,0.988782302,1.323998521
20931,1255.86,1255.86,0.141027257,0.990910932,1.288534796
20932,1255.92,1255.92,0.143522701,0.991290366,1.287317304
20933,1255.98,1255.98,0.14409873,0.989642378,1.29507494
20934,1256.04,1256.04,0.144228013,0.992141818,1.293232553
20935,1256.1,1256.1,0.144312327,0.989578926,1.304402358
20936,1256.16,1256.16,0.145934599,0.990465469,1.313677777
20937,1256.22,1256.22,0.148989682,0.991669818,1.288374697
20938,1256.28,1256.28,0.151019918,0.989562024,1.279943908
20939,1256.34,1256.34,0.153110417,0.991871217,1.285016151
20940,1256.4,1256.4,0.155686624,0.99037311,1.282984478
20941,1256.46,1256.46,0.157145463,0.988596529,1.28126346
20942,1256.52,1256.52,0.160642389,0.990515316,1.284533806
20943,1256.58,1256.58,0.161192713,0.988535418,1.286720395
20944,1256.64,1256.64,0.159120794,0.991493421,1.298018347
20945,1256.7,1256.7,0.155281256,0.990620233,1.314377648
20946,1256.76,1256.76,0.151762232,0.99067875,1.354681692
20947,1256.82,1256.82,0.148031812,0.989199382,1.401111052
20948,1256.88,1256.88,0.14373811,0.990245665,1.467794524
20949,1256.94,1256.94,0.139352931,0.992033769,1.511857117
20950,1257,1257,0.134053331,0.988647072,1.567485922
20951,1257.06,1257.06,0.130999625,0.991242151,1.595146702
20952,1257.12,1257.12,0.13220494,0.991643485,1.553791292
20953,1257.18,1257.18,0.135505111,0.988864345,1.522973432
20954,1257.24,1257.24,0.140480995,0.990649774,1.488549085
20955,1257.3,1257.3,0.147706368,0.987499425,1.457719817
20956,1257.36,1257.36,0.154598478,0.989345288,1.445187365
20957,1257.42,1257.42,0.161194332,0.990554341,1.446581241
20958,1257.48,1257.48,0.164760826,0.990614852,1.455835083
20959,1257.54,1257.54,0.165078504,0.992185978,1.499808652
20960,1257.6,1257.6,0.164073531,0.98976789,1.514742234
20961,1257.66,1257.66,0.163330067,0.988868496,1.503424185
20962,1257.72,1257.72,0.166604461,0.989951067,1.4626403
20963,1257.78,1257.78,0.16987584,0.989323066,1.431814141
20964,1257.84,1257.84,0.173176932,0.987844502,1.410854185
20965,1257.9,1257.9,0.175798209,0.988694116,1.407450949
20966,1257.96,1257.96,0.177700102,0.988399928,1.398543312
20967,1258.02,1258.02,0.176894409,0.987599687,1.406464524
20968,1258.08,1258.08,0.174401989,0.990226157,1.392295262
20969,1258.14,1258.14,0.168572034,0.989039191,1.373317105
20970,1258.2,1258.2,0.16055671,0.99202827,1.363208974
20971,1258.26,1258.26,0.152018047,0.992400374,1.364871839
20972,1258.32,1258.32,0.14672808,0.99007136,1.360979129
20973,1258.38,1258.38,0.148185403,0.990422023,1.349792067
20974,1258.44,1258.44,0.154313374,0.992836553,1.328140315
20975,1258.5,1258.5,0.157430981,0.996246482,1.323795771
20976,1258.56,1258.56,0.156870061,0.993905134,1.340911564
20977,1258.62,1258.62,0.156088104,0.993278993,1.324746851
20978,1258.68,1258.68,0.159501195,0.997451663,1.311736927
20979,1258.74,1258.74,0.163194794,0.994235097,1.284735389
20980,1258.8,1258.8,0.167290459,0.991300148,1.272547971
20981,1258.86,1258.86,0.167517817,0.992746972,1.265013067
20982,1258.92,1258.92,0.165022422,0.995278707,1.270498002
20983,1258.98,1258.98,0.159893159,0.997435598,1.283512266
20984,1259.04,1259.04,0.153869737,0.993750111,1.301039408
20985,1259.1,1259.1,0.148411174,0.995043974,1.323104809
20986,1259.16,1259.16,0.144554581,0.998043246,1.331788305
20987,1259.22,1259.22,0.141047493,0.994677677,1.338451126
20988,1259.28,1259.28,0.138489781,0.991587032,1.364811869
20989,1259.34,1259.34,0.137331048,0.990283999,1.366841632
20990,1259.4,1259.4,0.139164688,0.994199308,1.363090466
20991,1259.46,1259.46,0.142916299,0.991407892,1.356774698
20992,1259.52,1259.52,0.14722124,0.98887544,1.347259301
20993,1259.58,1259.58,0.151907471,0.987378131,1.337830586
20994,1259.64,1259.64,0.155302465,0.987460214,1.315965768
20995,1259.7,1259.7,0.158096885,0.987827264,1.313718568
20996,1259.76,1259.76,0.158744902,0.987534488,1.31207775
20997,1259.82,1259.82,0.157200535,0.987996722,1.319785122
20998,1259.88,1259.88,0.154691882,0.990082353,1.318837369
20999,1259.94,1259.94,0.152446726,0.991870119,1.321957259
21000,1260,1260,0.150436344,0.990928911,1.335285502
21001,1260.06,1260.06,0.148991246,0.992389586,1.339441356
21002,1260.12,1260.12,0.147980787,0.991404085,1.328616163
21003,1260.18,1260.18,0.15181521,0.992439815,1.305885259
